kor_name,eng_name,country,beer_category_1,beer_category_2,abv,ibu,thumbnail
템트 9,TEMPT NO 9,DENMARK,ETC,FRUIT,4.5 ,,https://getabeer.s3.ap-northeast-2.amazonaws.com/GetABeer_Products/155.jpeg
강철부대 맥주,THE IRON SQUAD BEER,SOUTH KOREA,LAGER,,5.5 ,,https://getabeer.s3.ap-northeast-2.amazonaws.com/GetABeer_Products/156.jpeg
타이거,TIGER,SINGAPORE,LAGER,,5.0 ,,https://getabeer.s3.ap-northeast-2.amazonaws.com/GetABeer_Products/157.jpeg
타이거 라들러 그레이프 프루트,TIGER RADLER GRAPEFRUIT,SINGAPORE,FRUIT,,2.0 ,,https://getabeer.s3.ap-northeast-2.amazonaws.com/GetABeer_Products/158.jpeg
타이거 라들러 레몬,TIGER RADLER LEMON,SINGAPORE,FRUIT,,2.0 ,,https://getabeer.s3.ap-northeast-2.amazonaws.com/GetABeer_Products/159.jpeg
컷워터 티키 럼 마이타이,TIKI RUM MAI TAI,SOUTH KOREA,ETC,,12.5 ,,https://getabeer.s3.ap-northeast-2.amazonaws.com/GetABeer_Products/160.jpeg
트롤브루 자몽,TROLL BREW HEFE GRAPEFRUIT,GERMANY,FRUIT,,2.6 ,,https://getabeer.s3.ap-northeast-2.amazonaws.com/GetABeer_Products/161.jpeg
트롤브루 레몬,TROLL BREW LEMON RADLER,GERMANY,FRUIT,,2.4 ,,https://getabeer.s3.ap-northeast-2.amazonaws.com/GetABeer_Products/162.jpeg
칭다오,TSINGTAO,CHINA,LAGER,,5.0 ,25,https://getabeer.s3.ap-northeast-2.amazonaws.com/GetABeer_Products/163.jpeg
칭다오 퓨어 드래프트,TSINGTAO PURE DRAFT,CHINA,LAGER,,4.3 ,,https://getabeer.s3.ap-northeast-2.amazonaws.com/GetABeer_Products/164.jpeg
칭따오 스타우트,TSINGTAO STOUT,CHINA,DUNKEL,,7.5 ,,https://getabeer.s3.ap-northeast-2.amazonaws.com/GetABeer_Products/165.jpeg
칭타오 바이젠 위트비어,TSINGTAO WHEAT BEER,CHINA,WEIZEN,,4.7 ,,https://getabeer.s3.ap-northeast-2.amazonaws.com/GetABeer_Products/166.jpeg
노을 수제 에일,TWILGHT AMERICAN PALE ALE,SOUTH KOREA,ALE,,4.5 ,,https://getabeer.s3.ap-northeast-2.amazonaws.com/GetABeer_Products/167.jpeg
컷워터 보드카 소다,VODCA SODA,SOUTH KOREA,ETC,,5.0 ,,https://getabeer.s3.ap-northeast-2.amazonaws.com/GetABeer_Products/168.jpeg
볼파스 엔젤맨,VOLFAS ENGELMAN,LITHUANIA,WEIZEN,,5.0 ,,https://getabeer.s3.ap-northeast-2.amazonaws.com/GetABeer_Products/169.jpeg
볼파스 엔젤맨 블랑,VOLFAS ENGELMAN BLANC,LITHUANIA,WEIZEN,,5.2 ,,https://getabeer.s3.ap-northeast-2.amazonaws.com/GetABeer_Products/170.jpeg
볼파스 엔젤맨 헤페바이젠,VOLFAS ENGELMAN HEFEWEIZEN,LITHUANIA,WEIZEN,,5.0 ,,https://getabeer.s3.ap-northeast-2.amazonaws.com/GetABeer_Products/171.jpeg
볼파스 엔젤맨 아이피에이,VOLFAS ENGELMAN IPA,LITHUANIA,ALE,,6.0 ,38,https://getabeer.s3.ap-northeast-2.amazonaws.com/GetABeer_Products/172.jpeg
바르슈타이너 프리미엄 필스너,WARSTEINER PREMIUM PILSNER,GERMANY,PILSNER,,4.8 ,,https://getabeer.s3.ap-northeast-2.amazonaws.com/GetABeer_Products/173.jpeg
바이엔슈테판 헤페 바이스비어,WEIHENSTEPHAN HEFEWEISSBIER,GERMANY,WEIZEN,,5.4 ,,https://getabeer.s3.ap-northeast-2.amazonaws.com/GetABeer_Products/174.jpeg
바이엔슈테판 헤페 바이스비어 둔켈,WEIHENSTEPHAN HEFEWEISSBIER DUNKEL,GERMANY,WEIZEN,DUNKEL,5.3 ,,https://getabeer.s3.ap-northeast-2.amazonaws.com/GetABeer_Products/175.jpeg
바이엔슈테판 크리스탈 바이스비어,WEIHENSTEPHAN KRISTALL WEISSBIER,GERMANY,WEIZEN,,5.4 ,,https://getabeer.s3.ap-northeast-2.amazonaws.com/GetABeer_Products/176.jpeg
에비스,YEBISU,JAPAN,LAGER,,5.0 ,,https://getabeer.s3.ap-northeast-2.amazonaws.com/GetABeer_Products/177.jpeg
골목 대장,YOUNG BOSS,SOUTH KOREA,ALE,,5.0 ,,https://getabeer.s3.ap-northeast-2.amazonaws.com/GetABeer_Products/178.jpeg
오늘 맥주,ONUEL BEER,SOUTH KOREA,WEIZEN,FRUIT,4.7 ,,https://getabeer.s3.ap-northeast-2.amazonaws.com/GetABeer_Products/179.jpeg
