kor_name,eng_name,country,beer_category_1,beer_category_2,abv,ibu,thumbnail
예거 레몬 라들러,EGGER ZITRONEN RADLER,AUSTRIA,FRUIT,,2.2 ,,https://getabeer.s3.ap-northeast-2.amazonaws.com/GetABeer_Products/42.jpeg
에딩거 바이스비어,ERDINGER WEISSBIER,GERMANY,WEIZEN,,5.3 ,,https://getabeer.s3.ap-northeast-2.amazonaws.com/GetABeer_Products/43.jpeg
에스트렐라 갈리시아,ESTELLA GALICIA,SPAIN,LAGER,,5.5 ,25,https://getabeer.s3.ap-northeast-2.amazonaws.com/GetABeer_Products/44.jpeg
에스트렐라 담,ESTRELLA DAMM,SPAIN,LAGER,,5.4 ,26,https://getabeer.s3.ap-northeast-2.amazonaws.com/GetABeer_Products/45.jpeg
파이어 락 페일 에일,FIRE ROCK PALE ALE,UNITED STATES,ALE,,5.9 ,35,https://getabeer.s3.ap-northeast-2.amazonaws.com/GetABeer_Products/46.jpeg
피즈 애플 사이다,FIZZ CIDER APPLE,LATVIA,ETC,FRUIT,4.5 ,,https://getabeer.s3.ap-northeast-2.amazonaws.com/GetABeer_Products/47.jpeg
피즈 블루베리 사이다,FIZZ CIDER BLUEBERRY,LATVIA,ETC,FRUIT,4.0 ,,https://getabeer.s3.ap-northeast-2.amazonaws.com/GetABeer_Products/48.jpeg
피즈 페어 사이다,FIZZ CIDER PEAR,LATVIA,ETC,FRUIT,4.0 ,,https://getabeer.s3.ap-northeast-2.amazonaws.com/GetABeer_Products/49.jpeg
피즈 스트로베리 사이다,FIZZ CIDER STRAWBERRY,LATVIA,ETC,FRUIT,4.0 ,,https://getabeer.s3.ap-northeast-2.amazonaws.com/GetABeer_Products/50.jpeg
가펠 쾰쉬,GAFFEL KOLSCH,GERMANY,ALE,,4.8 ,25,https://getabeer.s3.ap-northeast-2.amazonaws.com/GetABeer_Products/51.jpeg
가펠 레몬,GAFFEL LEMON,GERMANY,FRUIT,,2.0 ,,https://getabeer.s3.ap-northeast-2.amazonaws.com/GetABeer_Products/52.jpeg
금강산 골든 에일,GEUMGANGSAN GOLDEN ALE,SOUTH KOREA,ALE,,4.6 ,,https://getabeer.s3.ap-northeast-2.amazonaws.com/GetABeer_Products/53.jpeg
고길동 에일,GOGILDONG ALE,SOUTH KOREA,ALE,,5.0 ,,https://getabeer.s3.ap-northeast-2.amazonaws.com/GetABeer_Products/54.jpeg
골목 대장 골드 에일,GOLMOG DAEJANG GOLD ALE,SOUTH KOREA,ALE,,5.0 ,,https://getabeer.s3.ap-northeast-2.amazonaws.com/GetABeer_Products/55.jpeg
곰표 썸머 에일,GOMPYO SUMMER ALE,SOUTH KOREA,ALE,,5.0 ,,https://getabeer.s3.ap-northeast-2.amazonaws.com/GetABeer_Products/56.jpeg
곰표 밀맥주,GOMPYO WHEAT BEER,SOUTH KOREA,WEIZEN,,4.5 ,,https://getabeer.s3.ap-northeast-2.amazonaws.com/GetABeer_Products/57.jpeg
